pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,alpha,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
岩手県,10,9,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.4161447459986082,0.7650197170030155,0.4162555582383099,-0.3598154555348789,0.0302963127170619,0.9285450380551246,0.634451242744539,0.634451242744539,0.0303115395583071,-0.3173844266050267,0.0104395239045149,0.9894274885298224,0.6055511424479794,0.6055511424479794,0.0104396602423009,-0.5554344058036804,0.7070976811872209,0.03943629386628952,0.015337969427690262
岩手県,11,12,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.4161447459986082,0.6193458594293667,0.4162555582383099,2.279780563186197,0.0302963127170619,0.8746767161752752,0.6298885033352353,0.6298885033352353,0.0303115395583071,2.0060878317311124,0.0104395239045149,0.9403550768003192,0.6035526181759352,0.6035526181759352,0.0104396602423009,0.9232424740063944,0.6692842060293438,0.03818180581644426,0.014759654456661022
岩手県,12,2,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.4161447459986082,0.6768731152864764,0.4162555582383099,-1.1428084022858565,0.0302963127170619,0.9544077440331042,0.6275436164024065,0.6275436164024065,0.0303115395583071,-1.1637064814567566,0.0104395239045149,0.9891615133984972,0.5683080573548005,0.5683080573548005,0.0104396602423009,-1.8590542381092647,0.5675004772944863,0.03927397547604555,0.011818352722336823
岩手県,13,14,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.4161447459986082,0.5838552540013918,0.4162555582383099,-0.2476518855375402,0.0302963127170619,0.969703687282938,0.6686050185579964,0.6686050185579964,0.0303115395583071,-0.5274916195644522,0.0104395239045149,0.989560476095485,0.5936060063154993,0.5936060063154993,0.0104396602423009,-0.2800226676262031,0.5243629741257392,0.052760593280565746,0.013188003282867542
岩手県,14,3,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.4161447459986082,0.6791927627000696,0.4162555582383099,-0.7113699913024902,0.0302963127170619,0.8841350772186507,0.5915582955265657,0.5915582955265657,0.0303115395583071,-0.6398078456239881,0.0104395239045149,0.9891615133984972,0.5725721749953134,0.5725721749953134,0.0104396602423009,-1.1227417962025787,0.6057522427648981,0.03422795372903173,0.011778948899699729
福島県,15,9,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.2364408897775556,0.7665583604098976,0.2364312410354614,-2.4333305209875107,0.0957051709361013,0.8910579944767165,0.7027652386760385,0.7027652386760385,0.0981398810233388,-3.482483983039856,0.0302963127170619,0.8608586418384689,0.597029698369833,0.597029698369833,0.0303465567248047,-2.4483019181017607,0.6494898474023836,0.18751393072288847,0.035125481564375144
福島県,16,9,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.2364408897775556,0.7858035491127218,0.2364312410354614,-1.4902451559901235,0.0957051709361013,0.8775354728121131,0.7399625189134362,0.7399625189134362,0.0981398810233388,-2.508006047634852,0.0302963127170619,0.9403679893593438,0.6043476079049444,0.6043476079049444,0.0303465567248047,-1.086662544394439,0.4802373060033973,0.1925766551827398,0.0363166478808494
福島県,17,6,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.2364408897775556,0.7695576105973506,0.2364312410354614,-2.4713563472032547,0.0957051709361013,0.9002952099800019,0.7345253513393437,0.7345253513393437,0.0981398810233388,-2.8718726691745577,0.0302963127170619,0.9275844232616568,0.6105779649581912,0.6105779649581912,0.0303465567248047,-1.2853659650064864,0.5984781628865341,0.20649322234573772,0.036731893548592735
福島県,18,5,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.2364408897775556,0.7633091727068233,0.2364312410354614,-2.8344497978687286,0.0957051709361013,0.9042948290638988,0.7375577881443666,0.7375577881443666,0.0981398810233388,-4.622750986190069,0.0302963127170619,0.969703687282938,0.5980546164525884,0.5980546164525884,0.0303465567248047,-2.7158665207197084,0.42645215322980157,0.18910456450540247,0.035536353931627025
福島県,19,7,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.2364408897775556,0.7798050487378155,0.2364312410354614,-1.6466830596327782,0.0957051709361013,0.9042948290638988,0.7454501921730857,0.7454501921730857,0.0981398810233388,-2.7070827711196173,0.0302963127170619,0.969703687282938,0.5916885825110632,0.5916885825110632,0.0303465567248047,-1.5187770488127224,0.4942173800037399,0.2018334341044717,0.03453047866457343
秋田県,20,9,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.187156366835276,0.812843633164724,0.1873263890544573,-1.8139318227767944,0.0699445983379501,0.9300554016620498,0.6890121864010675,0.6890121864010675,0.0717216514307877,-1.1605046329827144,0.0957051709361013,0.9042948290638988,0.7054655115324807,0.7054655115324807,0.0934709821428571,-2.457819989749364,0.40785532436142946,0.1589296475400623,0.16264570639738074
秋田県,21,10,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.187156366835276,0.8218605674070816,0.1873263890544573,-1.7223590744866266,0.0699445983379501,0.9300554016620498,0.673623850843759,0.673623850843759,0.0717216514307877,-1.2691753157253922,0.0957051709361013,0.9042948290638988,0.6824871011413027,0.6824871011413027,0.0934709821428571,-2.320898725872948,0.46629740677980763,0.12834667443107348,0.1552953059166158
秋田県,22,9,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.187156366835276,0.812843633164724,0.1873263890544573,-0.3257250512639681,0.0699445983379501,0.9300554016620498,0.6531092647611747,0.6531092647611747,0.0717216514307877,-0.0774084765078692,0.0957051709361013,0.9042948290638988,0.6391276557398349,0.6391276557398349,0.0934709821428571,-1.2018404446897053,0.4141619214926362,0.11569402798806427,0.1329108475843932
秋田県,23,27,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.187156366835276,0.83813503408841,0.1873263890544573,-3.4490720298555164,0.0699445983379501,0.9300554016620498,0.6688119549110534,0.6688119549110534,0.0717216514307877,-2.5871321990572174,0.0957051709361013,0.9041996000380916,0.6181374613872508,0.6181374613872508,0.0934709821428571,-3.29152284349714,0.5903734976577946,0.14684132038426648,0.14007990045883978
秋田県,24,14,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.187156366835276,0.8181218385748845,0.1873263890544573,-2.427487399843004,0.0699445983379501,0.9300554016620498,0.6730205023480755,0.6730205023480755,0.0717216514307877,-1.8942428991712368,0.0957051709361013,0.9042948290638988,0.665718270484142,0.665718270484142,0.0934709821428571,-2.9304228396642777,0.4323504033396637,0.1391821418359815,0.14723869858927247
